"","","","REPORT OF REGISTRATION AS OF OCTOBER 20, 2014","","","","","","","",""
"","","","","","American","Americans","","","Peace and","","No Party"
"County","Eligible","Registered","Democratic","Republican","Independent","Elect","Green","Libertarian","Freedom","Other","Preference"
"Alameda","1,036,648","814,009","451,535","108,919","16,622","97","10,072","4,210","2,936","46,644","172,974"
"Alpine","878","764","280","228","30","0","13","6","1","7","199"
"Amador","26,593","20,798","6,467","9,185","909","1","119","224","49","58","3,786"
"Butte","167,802","117,503","38,793","42,484","4,165","13","1,446","1,245","502","1,711","27,144"
"Calaveras","35,473","27,068","8,180","11,344","1,274","4","240","369","99","234","5,324"
"Colusa","12,296","7,595","2,542","3,341","202","0","21","36","13","2","1,438"
"Contra Costa","718,685","527,521","258,862","126,134","14,029","36","3,347","3,161","1,174","1,343","119,435"
"Del Norte","18,253","12,750","4,153","4,548","593","1","97","118","55","176","3,009"
"El Dorado","135,707","106,931","30,540","45,901","4,425","5","848","1,217","303","944","22,748"
"Fresno","572,045","416,433","166,447","153,167","10,973","29","1,514","2,166","1,108","4,975","76,054"
"Glenn","18,264","12,034","3,557","5,267","457","0","37","87","42","21","2,566"
"Humboldt","104,687","76,008","31,127","18,979","2,515","2","2,812","806","365","263","19,139"
"Imperial","95,149","59,149","29,075","13,067","1,442","12","140","246","255","367","14,545"
"Inyo","13,668","9,500","2,895","4,019","405","1","80","80","26","51","1,943"
"Kern","497,934","332,228","119,864","129,562","10,932","35","811","2,231","972","362","67,459"
"Kings","77,443","48,251","17,301","21,489","1,221","3","90","251","85","144","7,667"
"Lake","49,067","33,489","13,017","8,857","1,395","2","479","381","176","80","9,102"
"Lassen","17,174","12,895","3,040","6,202","686","3","37","101","40","77","2,709"
"Los Angeles","6,096,320","4,897,915","2,473,691","1,010,254","111,365","2,651","25,072","27,999","36,003","42,703","1,168,177"
"Madera","85,976","52,494","17,354","22,577","1,654","3","206","307","148","171","10,074"
"Marin","176,922","148,976","80,796","26,237","3,299","9","2,064","884","276","514","34,897"
"Mariposa","15,290","10,501","3,067","4,603","477","1","111","108","29","185","1,920"
"Mendocino","64,404","47,502","21,620","10,036","1,692","2","1,791","460","281","183","11,437"
"Merced","151,262","95,452","40,451","31,322","2,989","6","494","559","339","218","19,074"
"Modoc","6,934","5,195","1,269","2,573","269","0","26","44","11","7","996"
"Mono","9,635","5,812","1,908","2,012","252","1","58","42","18","0","1,521"
"Monterey","235,827","165,731","83,386","39,634","3,956","12","1,084","918","463","231","36,047"
"Napa","91,531","70,493","32,290","18,335","2,208","5","787","521","197","444","15,706"
"Nevada","76,731","61,690","20,029","22,187","2,380","2","1,376","725","192","138","14,661"
"Orange","1,963,747","1,424,216","454,810","579,912","37,991","261","5,638","12,059","3,595","4,820","325,130"
"Placer","259,591","200,422","55,115","92,447","4,797","17","1,055","2,732","469","682","43,108"
"Plumas","15,299","11,831","3,566","5,016","606","2","83","114","43","4","2,397"
"Riverside","1,394,302","891,575","316,380","352,831","27,719","89","2,679","5,681","3,158","7,199","175,839"
"Sacramento","961,112","683,632","295,022","208,658","20,576","68","3,942","5,091","5,511","1,439","143,325"
"San Benito","34,594","24,251","11,032","6,975","614","3","133","137","60","393","4,904"
"San Bernardino","1,273,684","851,684","325,196","294,381","30,953","111","3,109","5,451","4,023","1,988","186,472"
"San Diego","2,135,863","1,546,924","536,300","506,078","52,982","151","7,817","12,865","4,260","5,571","420,900"
"San Francisco","625,446","433,844","241,480","36,012","7,631","27","6,788","2,783","1,418","2,376","135,329"
"San Joaquin","428,595","297,425","126,070","103,124","8,016","32","865","1,592","925","1,355","55,446"
"San Luis Obispo","202,600","150,139","49,692","59,193","4,397","7","1,287","1,340","332","1,806","32,085"
"San Mateo","490,797","355,598","180,459","66,325","7,708","20","2,454","1,982","780","866","95,004"
"Santa Barbara","281,167","196,998","79,392","58,202","5,317","14","1,508","1,515","473","2,169","48,408"
"Santa Clara","1,157,944","805,502","357,873","176,159","17,023","51","4,266","5,129","2,180","1,454","241,367"
"Santa Cruz","187,844","142,316","76,645","22,961","3,444","10","2,753","1,309","530","717","33,947"
"Shasta","135,199","97,933","25,022","44,190","3,924","9","458","958","329","399","22,644"
"Sierra","2,502","2,229","623","902","138","0","23","29","6","55","453"
"Siskiyou","35,187","24,840","7,738","9,917","1,135","1","198","277","93","56","5,425"
"Solano","284,151","200,147","96,119","48,815","5,800","15","854","1,203","531","925","45,885"
"Sonoma","341,804","244,448","126,011","51,577","6,268","7","4,207","1,925","728","1,555","52,170"
"Stanislaus","326,747","214,209","78,884","88,364","6,008","27","606","1,250","580","2,220","36,270"
"Sutter","59,786","41,608","13,280","18,015","1,368","4","121","278","142","811","7,589"
"Tehama","43,727","30,169","8,653","13,020","1,548","3","121","276","110","118","6,320"
"Trinity","11,089","7,213","2,366","2,420","369","0","116","96","32","110","1,704"
"Tulare","256,248","137,695","43,265","63,249","4,699","27","431","814","424","242","24,544"
"Tuolumne","39,669","29,274","9,202","12,276","1,246","0","218","279","89","61","5,903"
"Ventura","542,109","433,064","169,789","148,095","11,384","24","2,324","3,109","1,113","5,703","91,523"
"Yolo","140,889","101,032","46,983","23,390","2,869","4","1,049","779","455","410","25,093"
"Yuba","47,855","26,918","8,180","10,455","1,331","2","136","249","95","46","6,424"
"State Total","24,288,145","17,803,823","7,708,683","5,005,422","480,677","3,922","110,511","120,804","78,642","147,803","4,147,359"
"Percent","","73.30%","43.30%","28.11%","2.70%","0.02%","0.62%","0.68%","0.44%","0.83%","23.29%"
