"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"County","Number of","Eligible to","Registered","Precinct","Vote-By-Mail","Total","Percent of","Turnout","Turnout"
"","Precincts","Register","Voters","Voters","Voters","Voters","Vote-By-Mail","Registered","Eligible"
"","","","","","","","Voters","",""
"Alameda","1,050","1,006,632","765,885","214,978","253,505","468,483","54.11%","61.17%","46.54%"
"Alpine","5","893","733","0","566","566","100.00%","77.22%","63.38%"
"Amador","59","26,094","21,354","6,865","9,701","16,566","58.56%","77.58%","63.49%"
"Butte","152","160,298","115,737","33,291","44,143","77,434","57.01%","66.91%","48.31%"
"Calaveras","30","34,881","28,740","7,473","12,644","20,117","62.85%","70.00%","57.67%"
"Colusa","18","12,073","7,867","3,000","2,312","5,312","43.52%","67.52%","44.00%"
"Contra Costa","807","712,085","533,825","165,181","187,506","352,687","53.16%","66.07%","49.53%"
"Del Norte","18","18,124","12,441","3,765","4,579","8,344","54.88%","67.07%","46.04%"
"El Dorado","152","129,238","107,925","23,168","55,442","78,610","70.53%","72.84%","60.83%"
"Fresno","496","548,699","391,572","96,269","107,982","204,251","52.87%","52.16%","37.22%"
"Glenn","30","17,659","12,264","4,813","3,305","8,118","40.71%","66.19%","45.97%"
"Humboldt","134","99,924","77,755","27,002","24,790","51,792","47.86%","66.61%","51.83%"
"Imperial","130","93,890","54,957","17,369","10,022","27,391","36.59%","49.84%","29.17%"
"Inyo","27","13,019","9,406","3,770","3,354","7,124","47.08%","75.74%","54.72%"
"Kern","621","484,611","311,585","91,577","84,266","175,843","47.92%","56.44%","36.29%"
"Kings","213","81,007","49,116","8,169","18,707","26,876","69.60%","54.72%","33.18%"
"Lake","53","46,603","32,551","9,124","12,363","21,487","57.54%","66.01%","46.11%"
"Lassen","57","18,050","14,291","5,966","3,485","9,451","36.87%","66.13%","52.36%"
"Los Angeles","5,168","5,823,294","4,449,415","1,698,454","678,651","2,377,105","28.55%","53.43%","40.82%"
"Madera","101","84,767","54,817","14,261","20,726","34,987","59.24%","63.83%","41.27%"
"Marin","199","183,477","151,876","45,853","69,832","115,685","60.36%","76.17%","63.05%"
"Mariposa","21","14,079","11,367","3,313","5,066","8,379","60.46%","73.71%","59.51%"
"Mendocino","247","62,228","48,614","6,696","25,804","32,500","79.40%","66.85%","52.23%"
"Merced","124","141,339","95,844","26,068","22,754","48,822","46.61%","50.94%","34.54%"
"Modoc","20","6,994","5,471","2,490","1,379","3,869","35.64%","70.72%","55.32%"
"Mono","13","9,512","6,286","2,859","1,652","4,511","36.62%","71.76%","47.42%"
"Monterey","183","238,281","160,221","35,326","66,123","101,449","65.18%","63.32%","42.58%"
"Napa","132","92,914","69,872","33,313","14,508","47,821","30.34%","68.44%","51.47%"
"Nevada","87","74,144","61,411","12,982","36,655","49,637","73.85%","80.83%","66.95%"
"Orange","2,080","1,890,794","1,621,934","432,048","466,157","898,205","51.90%","55.38%","47.50%"
