"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"County","Number of","Eligible to","Registered","Precinct","Vote-By-Mail","Total","Percent of","Turnout","Turnout"
"","Precincts","Register","Voters","Voters","Voters","Voters","Vote-By-Mail","Registered","Eligible"
"","","","","","","","Voters","",""
"Alameda","1,119","1,030,130","803,728","60,238","146,850","207,088","70.91%","25.77%","20.10%"
"Alpine","5","876","766","0","533","533","100.00%","69.58%","60.84%"
"Amador","59","26,768","21,200","3,155","6,743","9,898","68.12%","46.69%","36.98%"
"Butte","141","167,394","119,081","8,630","32,584","41,214","79.06%","34.61%","24.62%"
"Calaveras","30","35,583","27,263","3,481","9,133","12,614","72.40%","46.27%","35.45%"
"Colusa","18","12,291","7,653","1,345","2,263","3,608","62.72%","47.14%","29.35%"
"Contra Costa","650","715,697","528,162","39,952","111,836","151,788","73.68%","28.74%","21.21%"
"Del Norte","18","18,378","12,398","2,288","3,662","5,950","61.55%","47.99%","32.38%"
"El Dorado","95","135,580","106,944","7,579","35,286","42,865","82.32%","40.08%","31.62%"
"Fresno","447","569,314","412,181","31,764","76,041","107,805","70.54%","26.15%","18.94%"
"Glenn","34","18,235","11,978","1,168","4,479","5,647","79.32%","47.14%","30.97%"
"Humboldt","103","104,663","75,411","10,644","17,862","28,506","62.66%","37.80%","27.24%"
"Imperial","159","94,854","58,197","6,487","10,989","17,476","62.88%","30.03%","18.42%"
"Inyo","21","13,678","9,509","930","2,986","3,916","76.25%","41.18%","28.63%"
"Kern","444","496,204","334,435","18,831","53,499","72,330","73.97%","21.63%","14.58%"
"Kings","166","77,977","47,420","3,083","12,069","15,152","79.65%","31.95%","19.43%"
"Lake","70","49,002","33,987","5,153","10,395","15,548","66.86%","45.75%","31.73%"
"Lassen","54","17,408","13,433","1,242","4,631","5,873","78.85%","43.72%","33.74%"
"Los Angeles","4,870","6,076,302","4,857,424","423,376","400,694","824,070","48.62%","16.97%","13.56%"
"Madera","76","85,586","52,817","5,197","14,009","19,206","72.94%","36.36%","22.44%"
"Marin","157","176,609","148,762","13,711","47,089","60,800","77.45%","40.87%","34.43%"
"Mariposa","25","15,248","10,574","1,237","3,670","4,907","74.79%","46.41%","32.18%"
"Mendocino","249","64,240","47,400","2,477","13,943","16,420","84.91%","34.64%","25.56%"
"Merced","126","150,629","94,779","8,157","15,662","23,819","65.75%","25.13%","15.81%"
"Modoc","21","6,991","5,454","771","2,131","2,902","73.43%","53.21%","41.51%"
"Mono","13","9,678","5,802","1,230","1,980","3,210","61.68%","55.33%","33.17%"
"Monterey","194","235,319","164,032","9,943","43,328","53,271","81.34%","32.48%","22.64%"
"Napa","165","91,388","71,241","1,404","26,775","28,179","95.02%","39.55%","30.83%"
"Nevada","71","76,711","61,711","5,270","22,326","27,596","80.90%","44.72%","35.97%"
"Orange","1,856","1,955,899","1,411,232","99,397","240,790","340,187","70.78%","24.11%","17.39%"
