"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"County","Number of","Eligible to","Registered","Precinct","Vote-By-Mail","Total","Percent of","Turnout","Turnout"
"","Precincts","Register","Voters","Voters","Voters","Voters","Vote-By-Mail","Registered","Eligible"
"","","","","","","","Voters","",""
"Alameda","1,118","1,036,648","814,009","139,016","227,583","366,599","62.08%","45.04%","35.36%"
"Alpine","5","878","764","0","468","468","100.00%","61.26%","53.30%"
"Amador","61","26,593","20,798","4,540","8,543","13,083","65.30%","62.91%","49.20%"
"Butte","157","167,802","117,503","17,631","45,858","63,489","72.23%","54.03%","37.84%"
"Calaveras","30","35,473","27,068","4,732","11,369","16,101","70.61%","59.48%","45.39%"
"Colusa","18","12,296","7,595","1,762","2,660","4,422","60.15%","58.22%","35.96%"
"Contra Costa","652","718,685","527,521","93,390","165,617","259,007","63.94%","49.10%","36.04%"
"Del Norte","18","18,253","12,750","2,980","4,352","7,332","59.36%","57.51%","40.17%"
"El Dorado","154","135,707","106,931","14,272","48,701","62,973","77.34%","58.89%","46.40%"
"Fresno","577","572,045","416,433","64,901","98,519","163,420","60.29%","39.24%","28.57%"
"Glenn","38","18,264","12,034","1,296","4,875","6,171","79.00%","51.28%","33.79%"
"Humboldt","107","104,687","76,008","16,492","22,037","38,529","57.20%","50.69%","36.80%"
"Imperial","165","95,149","59,149","8,096","13,449","21,545","62.42%","36.42%","22.64%"
"Inyo","24","13,668","9,500","1,652","3,940","5,592","70.46%","58.86%","40.91%"
"Kern","591","497,934","332,228","48,035","87,971","136,006","64.68%","40.94%","27.31%"
"Kings","203","77,443","48,251","4,835","17,928","22,763","78.76%","47.18%","29.39%"
"Lake","70","49,067","33,489","6,017","12,044","18,061","66.69%","53.93%","36.81%"
"Lassen","52","17,174","12,895","1,633","5,339","6,972","76.58%","54.07%","40.60%"
"Los Angeles","5,027","6,096,320","4,897,915","941,812","577,023","1,518,835","37.99%","31.01%","24.91%"
"Madera","100","85,976","52,494","8,970","18,400","27,370","67.23%","52.14%","31.83%"
"Marin","173","176,922","148,976","25,960","63,576","89,536","71.01%","60.10%","50.61%"
"Mariposa","25","15,290","10,501","1,995","4,701","6,696","70.21%","63.77%","43.79%"
"Mendocino","249","64,404","47,502","4,377","20,640","25,017","82.50%","52.67%","38.84%"
"Merced","190","151,262","95,452","16,085","22,587","38,672","58.41%","40.51%","25.57%"
"Modoc","21","6,934","5,195","798","2,112","2,910","72.58%","56.02%","41.97%"
"Mono","13","9,635","5,812","1,107","2,048","3,155","64.91%","54.28%","32.75%"
"Monterey","194","235,827","165,731","17,751","57,364","75,115","76.37%","45.32%","31.85%"
"Napa","167","91,531","70,493","2,397","36,369","38,766","93.82%","54.99%","42.35%"
"Nevada","84","76,731","61,690","9,383","30,246","39,629","76.32%","64.24%","51.65%"
"Orange","1,863","1,963,747","1,424,216","252,472","387,886","640,358","60.57%","44.96%","32.61%"
