"","","","VOTER PARTICIPATION STATISTICS BY COUNTY","","","","","",""
"County","Number of","Eligible to","Registered","Precinct","Vote-By-Mail","Total","Percent of","Turnout","Turnout"
"","Precincts","Register","Voters","Voters*","Voters","Voters","Vote-By-Mail","Registered","Eligible"
"","","","","","","","Voters","",""
"Alameda","1,135","1,089,154","881,491","159,500","428,001","587,501","72.85%","66.65%","53.94%"
"Alpine","5","939","758","0**","626","626","100.00%","82.59%","66.67%"
"Amador","30","27,117","22,305","4,991","12,793","17,784","71.94%","79.73%","65.58%"
"Butte","148","171,771","122,741","23,466","66,652","90,118","73.96%","73.42%","52.46%"
"Calaveras","29","36,101","29,591","5,491","16,436","21,927","74.96%","74.10%","60.74%"
"Colusa","18","12,552","8,792","2,580","3,235","5,815","55.63%","66.14%","46.33%"
"Contra Costa","744","759,693","621,309","132,931","290,417","423,348","68.60%","68.14%","55.73%"
"Del Norte","18","18,039","14,150","2,898","5,541","8,439","65.66%","59.64%","46.78%"
"El Dorado","166","141,268","121,192","19,018","71,712","90,730","79.04%","74.86%","64.23%"
"Fresno","640","597,497","456,891","93,581","163,391","256,972","63.58%","56.24%","43.01%"
"Glenn","34","18,520","12,730","1,454","6,985","8,439","82.77%","66.29%","45.57%"
"Humboldt","144","105,521","78,518","17,893","35,542","53,435","66.51%","68.05%","50.64%"
"Imperial","216","101,197","69,728","12,905","20,990","33,895","61.93%","48.61%","33.49%"
"Inyo","23","13,689","10,036","2,092","5,300","7,392","71.70%","73.65%","54.00%"
"Kern","655","518,711","375,881","71,411","134,405","205,816","65.30%","54.76%","39.68%"
"Kings","115","80,450","52,631","6,188","24,418","30,606","79.78%","58.15%","38.04%"
"Lake","70","49,469","32,653","6,049","15,416","21,465","71.82%","65.74%","43.39%"
"Lassen","52","16,571","14,332","5,041","4,091","9,132","44.80%","63.72%","55.11%"
"Los Angeles","4,728","6,230,147","5,280,658","1,673,104","1,350,313","3,023,417","44.66%","57.25%","48.53%"
"Madera*","69","89,818","57,418","4,434","34,534","38,968","88.62%","67.87%","43.39%"
"Marin","200","181,925","160,944","34,984","97,450","132,434","73.58%","82.29%","72.80%"
"Mariposa","25","14,933","10,853","2,169","6,164","8,333","73.97%","76.78%","55.80%"
"Mendocino","250","64,399","49,411","4,462","29,504","33,966","86.86%","68.74%","52.74%"
"Merced","269","160,905","97,584","26,997","33,173","60,170","55.13%","61.66%","37.39%"
"Modoc","21","7,392","5,118","775","2,722","3,497","77.84%","68.33%","47.31%"
"Mono","12","9,542","6,597","1,663","3,265","4,928","66.25%","74.70%","51.65%"
"Monterey","176","244,901","187,350","28,284","89,347","117,631","75.96%","62.79%","48.03%"
"Napa*","170","92,369","78,135","42","57,090","57,132","99.93%","73.12%","61.85%"
"Nevada*","68","78,603","68,954","3,059","51,937","54,996","94.44%","79.76%","69.97%"
